145568	13774	en	Owen Jones	The Establishment: And how they get away with it	-	-	-	All rights reserved.	-	Penguin Books Ltd	9780141975009	-	calibre (2.2.0) [http://calibre-ebook.com]	2014-09-04T07:00:00+00:00
49140	6406	en	Memmi, Albert	The Colonizer and the Colonized	-	-	-	-	-	Taylor and Francis	978-1-134-03089-7	-	-	-
50507	7635	en	Jim Finkelstein	Fuse	Text	-	-	All rights reserved.	-	Greenleaf Book Group	978-1-60832-206-0	224 pages	-	2009
174085	13598	en	Lane, Nick	Power, Sex, Suicide	Text	-	-	All rights reserved.	-	OUP Oxford	9780192804815	368 Pages	-	2005
270912	19898	en	Craft, Alan	Illustrated Textbook of Paediatrics International Edition: with STUDENTCONSULT Online Access	-	-	-	-	-	Elsevier Health Sciences UK	9780723437260	-	calibre (0.9.42) [http://calibre-ebook.com]	2011-09-07T14:00:00+00:00
90778	7259	en	Matthew Slinn	Build Your Own Electric Bicycle	Text	-	-	All Rights reserved	-	McGraw-Hill Education	007160622X	272 Pages	-	2010
63968	7226	en	Lillian Glass	The Body Language of Liars	Text	-	-	All Rights Reserved	-	Career Press	9781601632807	224 Pages	-	2014
213099	15187	en	John Nelson Rickard	Advance and Destroy	Text	-	-	All rights reserved	-	The University Press of Kentucky	9780813134567	529 Pages	-	2011
161342	8016	en	Lindley, Dennis V.	Understanding Uncertainty	-	-	-	-	-	Wiley	9781118650233	-	-	2013-11-26
135033	9609	en	Whitelam, Keith W.	The Invention of Ancient Israel	-	-	-	© 1996 Keith W. Whitelam	-	Taylor and Francis	9781317799153	-	-	-
75971	7307	en	Miller, Daniel	A Theory of Shopping	-	-	-	© Daniel Miller 1998	-	Wiley	9780745667911	-	-	-
68492	10255	en	Laurie Penny	Penny Red	-	-	-	Copyright © Laurie Penny 2011	-	Pluto Press	9781849646055	-	calibre (2.1.0) [http://calibre-ebook.com]	2011-10-26T07:00:00+00:00
68821	10648	en	Jac Scott	Language of Mixed-Media Sculpture	-	-	URN:ISBN:9781847977229	All rights reserved	-	Crowood	URN:ISBN:9781847977229	226 Pages	-	-
187947	15164	en	Lowe, Sid	Fear and Loathing in La Liga	Text	-	URN:ISBN:978-1-5685-8451-5	All rights reserved	-	Nation Books	URN:ISBN:978-1-5685-8451-5	481 Pages	-	-
57294	6685	en	Susan Rau Stocker	Many Faces of PTSD	-	PTSD	-	Copyright 2010 Susan Rau Stocker	-	Holy Macro! Books	9781615473014	-	Mary Ellen Jelen	-
113463	11929	en	Keith Johnsgard	Conquering Depression and Anxiety Through Exercise	-	-	-	-	-	-	00da5abe-68fa-40ee-9096-d7309595db25	-	-	2009-07-07T00:50:00+00:00
46052	3559	en	Paul Mendelson	The Golden Rules of Bridge	Text	-	URN:ISBN:978-1-8452-8553-1	All rights reserved	-	Constable & Robinson	URN:ISBN:978-1-8452-8553-1	256 pages	-	-
105727	13127	en	Steiner, George	The Death of Tragedy (Faber Library)	-	-	-	-	-	Open Road Media	B00BZILWM6	-	calibre (1.5.0) [http://calibre-ebook.com]	2013-04-16T00:00:00+00:00
85264	8454	en	Erin Meyer	The Culture Map	Text	-	URN:ISBN:978-1-6103-9259-4	All rights reserved	-	PublicAffairs	URN:ISBN:978-1-6103-9259-4	289 Pages	-	-
163816	16717	en	Eggers, Dave (EDT)	Best American Nonrequired Reading 2012 (9780547840529)	-	-	http://www.hmhco.com/	Please read the legal notice included in this e-book and/or check the copyright status in your country.	-	Houghton Mifflin	urn:uuid:A87E3D0C-81C9-101A-84E8-D527681EFC4D	-	-	-
206284	18682	en	Russell Miller	Bare-Faced Messiah	-	-	-	© Russell Miller 2014	-	Silvertail Books	9781909269156	-	-	2014
102321	10074	en	Peter T. Coleman	Making Conflict Work	-	-	http://www.hmhco.com/	Please read the legal notice included in this e-book and/or check the copyright status in your country.	-	Houghton Mifflin Harcourt	urn:uuid:48E777B9-72E5-1014-9B11-9E15F0AAF2C4	-	-	-
106303	12687	en	Charles Wilkins	Little Ship of Fools	-	-	-	-	-	Greystone Books	urn:uuid:7e1d0780-5aee-4026-8b43-a062a049dacf	EPUB	calibre (1.37.0) [http://calibre-ebook.com]	2013-09-15T06:00:00+00:00
45219	7560	en	Les Krantz	The Unofficial U. S. Census	-	-	-	 Copyright © 2011 by Les Krantz	-	Arcade Publishing	9781616083052	-	-	2011-04-08
78416	9302	en	Steven Strogatz	The Joy of x	-	-	http://www.hmhco.com/	Please read the legal notice included in this e-book and/or check the copyright status in your country.	-	Houghton Mifflin Harcourt	urn:uuid:DEC1CF65-9426-1014-926B-F35C1E825AE6	-	-	-
84129	6337	en	Levine, Noah	Refuge Recovery : A Buddhist Path to Recovering from Addiction (9780062123091)	Text	-	-	All rights reserved	-	HarperCollins	9780062123091	290 Pages	-	-
1727543	44106	en	Barnes, Jonathan, Aristotle	The Complete Works of Aristotle	-	-	-	-	-	Princeton University Press	9781400852765	ePub	-	1984
102915	9012	en	Richard Preston	The Hot Zone	-	-	-	-	-	-	a3a6ed0f-8bc3-4554-bd8e-acdc9e6bb868	-	calibre (0.7.59) [http://calibre-ebook.com]	2011-06-15T03:00:00+00:00
112254	8344	en	Rex Miller	Audel Pumps and Hydraulics	-	-	-	Copyright © 2004 by Wiley Publishing, Inc., Indianapolis, Indiana. All rights reserved. Published simultaneously in Canada	-	Wiley	9781118046500	-	-	2011-01-25
89347	10543	en	Robert A. Wilson	Modern Book Collecting	-	-	-	Copyright © 2010 by Robert A. Wilson	-	Skyhorse Publishing, Inc.	9781602399853	-	-	2011-02-24
97117	10701	en	Joe Peta	Trading Bases: A Story About Wall Street, Gambling, and Baseball (Not Necessarily in That Order)	-	-	urn:isbn:9780525953647	Copyright © 2013 by Joseph Peta	-	Dutton	urn:isbn:9781101609651	-	-	2013-03-07
