139347	13224	fr-FR	Pierre-Joseph-Olivier Chauveau	Charles Guérin - Roman de mœurs canadiennes	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id02943	epub	-	2016
248590	12669	fr-FR	Anonyme	Les Mille et une nuits - Tome IV	-	Nouvelles, contes	-	Copyright © 2014-09-09 Ilivri	-	ILIVRI	9782335007473	epub	Anonyme	2014-09-09
225716	11023	fr-FR	Anonyme	Les Mille et une nuits - Tome I	-	Nouvelles, contes	-	Copyright © 2014-09-09 Ilivri	-	ILIVRI	9782335007442	epub	Anonyme	2014-09-09
18450	3141	fr-FR	Alexandre Dumas	La Bouillie de la comtesse Berthe	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012743	epub	Alexandre Dumas	2014-07-21
94998	10148	fr-FR	Gustave Toudouze	Le Mystère de la chauve-souris	-	Romans	-	Copyright © 2014-12-05 Ilivri	-	ILIVRI	9782335062922	epub	Gustave Toudouze	2014-12-05
5169	1524	fr-FR	Théodore de Banville	La Perle - Comédie en un acte, en vers	-	Théâtre	-	Copyright © 2014-08-14 Ilivri	-	ILIVRI	id02511	epub	Étienne Jean Baptiste Claude Théodore Faullain de Banville	2014-08-14
4371	1369	fr-FR	Merville	La vie de café - Paris ou le Livre des Cent-et-Un	-	Documents et essais	-	Copyright © 2015-04-03 Ilivri	-	ILIVRI	id02360	epub	Pierre-François Camus	2015-04-03
74779	6922	fr-FR	Comtesse de Ségur	Un bon petit diable	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335000085	epub	Sophie  Rostopchine	2014-07-21
293624	19487	fr-FR	Marcel Proust	A la recherche du temps perdu - Tome III - Le Côté de Guermantes	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335007916	epub	Marcel Proust	2014-07-21
128152	12430	fr-FR	Jules Barbey d’Aurevilly	Les Diaboliques - Les six premières	-	Poésie	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335002058	epub	Jules Barbey d’Aurevilly	2014-07-21
22742	3214	fr-FR	Alfred de Vigny	Chatterton	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335032352	epub	Alfred de Vigny	2014-07-21
119149	13658	fr-FR	Théophile Gautier	Le Capitaine Fracasse - Tome second	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012705	epub	Théophile Gautier	2014-07-21
34803	5866	fr-FR	Alphonse Daudet	Tartarin de Tarascon	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012750	epub	Alphonse Daudet	2014-07-21
115280	9788	fr-FR	Alfred de Musset	La Confession d'un enfant du siècle	-	Biographies, mémoires	-	Copyright © 2014-09-24 Ilivri	-	ILIVRI	9782335015218	epub	Alfred de Musset	2014-09-24
126855	10456	fr-FR	Gaston Leroux	Rouletabille chez le Tsar	-	Policier, mystère	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335008135	epub	Gaston Leroux	2014-07-21
148890	14291	fr-FR	Gustave Flaubert	Madame Bovary - Mœurs de province	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335002393	epub	Gustave Flaubert	2014-07-21
55042	9063	fr-FR	Jules Laforgue	Moralités légendaires	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	id00996	epub	-	2015
